time="2023-06-28T00:24:46+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:24:46+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:24:52+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:25:32+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:25:32+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:25:34+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:26:27+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:26:27+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:26:29+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:31:52+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:31:52+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:31:55+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:32:06+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:32:06+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:32:07+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:32:52+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:32:52+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:32:55+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:38:38+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:38:38+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:38:41+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:39:07+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:39:07+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:39:09+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:39:36+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:39:36+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:39:38+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:39:58+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:39:58+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:40:06+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:40:36+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:40:36+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:40:41+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:41:10+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:41:10+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:41:15+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:41:49+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:41:49+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:41:51+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:42:02+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:42:02+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:42:04+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:43:01+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:43:01+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:43:05+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:43:39+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:43:39+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:43:44+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:44:14+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
